section,section_id,section_sis_id,submitted,attempt,"2039613: How would you rate the difficulty of the material in ""Part 1"" (Chapters 1-4)?",1.0,2039614: How would you rate the demands of theactivities?,1.0,"2039615: Not counting the time spent in class, on average how much time a week do you spend on STAT 202 outside of class (reading check, finishing activities, studying, etc.)",1.0,2039616: How would you rate the usefulness of the lecture slides?,1.0,2039617: What are your thoughts on the course website?,1.0,2090882: Which method do you usually use to complete reading checks?,1.0,2083921: Provide your view on Aha Slides participation (can select multiple),1.0,"2083942: This class utilizes an active learning teaching style (partially flipped).
Provide your opinions on the teaching style.",1.0,2039618: How would you rate thedifficultyof Exam 1?,1.0,"2039619: How would you rate the fairness ofExam 1?
Fair means the material was covered in the course and you should be expected to know it.
(difficult does not mean the exam was unfair)",1.0,"2039620: Please provide any general thoughts or critiques you may have concerning the material (Chapter 1-4) and its use in class. If none, leave blank.
If you think that some of the material is stupid or worthless, then feel free to say so. However please indicate why you think it is stupid or worthless.
Similarly, if you think the material is wonderful and perfect, then feel free to say so. However please indicate why you think it is wonderful and perfect.
I rely on your feedback for improving this course for future students!",1.0,n correct,n incorrect,score
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-30 04:43:06 UTC,1,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,Aha slides provides no benefit to the lecture,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,3 - Neither fair nor unfair,0.0,"",0.0,5,6,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-30 04:37:26 UTC,1,1 - Very easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,2 -,0.0,Love it - organized and easy to use,1.0,app link,1.0,Aha slides provides no benefit to the lecture,0.0,Doesn't matter to me.,0.0,2 - Somewhat easy,0.0,4 - fair,0.0,"",0.0,3,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-30 04:36:27 UTC,1,3 - Neither difficult nor easy,0.0,4 -,0.0,1-3 hours,0.0,4 -,0.0,Don't care either way,0.0,Posit Cloud Project,0.0,No opinion on Aha slides,0.0,Would prefer fully flipped! (Watch lecture videos outside of class and spend entire time working on activity.),0.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,Just wish we had more time to do activities in class!,0.0,1,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-30 03:58:58 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,Aha slides provides no benefit to the lecture,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"",0.0,5,6,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-30 03:15:43 UTC,1,3 - Neither difficult nor easy,0.0,5 - Too demanding,1.0,1-3 hours,0.0,4 -,0.0,Hate it - go back to Canvas,0.0,Posit Cloud Project,0.0,No opinion on Aha slides,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,2 - Somewhat easy,0.0,4 - fair,0.0,"",0.0,3,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-30 02:49:21 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,I would come to class even if participation was not counted,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,"",0.0,7,4,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-30 00:19:59 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,0-1 hours,1.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,Aha slides makes the lectures more engaging.,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"",0.0,6,5,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-29 23:52:43 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,Aha slides makes the lectures more engaging.,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,I really appreciate how organized the class is! It makes it easier to learn new knowledge and revise old knowledge.,0.0,4,7,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-29 23:10:08 UTC,1,4- Somewhat difficult,0.0,2 -,0.0,1-3 hours,0.0,2 -,0.0,Don't care either way,0.0,app link,1.0,"Aha slides provides no benefit to the lecture,Other",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"I felt comfortable going in, but I felt as if much of the studied content was not on the exam. I think I was confused to what depth I should know the content.",0.0,3,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-01-29 21:59:34 UTC,1,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,app link,1.0,"I would come to class even if participation was not counted,Aha slides makes the lectures more engaging.",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"",0.0,5,6,1.0
