section,section_id,section_sis_id,submitted,attempt,2039596: How many classes have you missed so far this quarter?,1.0,"2039597: If you had a choice, what is your ideal exam day?",1.0,"2039598: How would you rate the difficulty of the material in ""Part 2"" (Chapters 5-9.1)?",1.0,2039599: How would you rate the demands of theactivities?,1.0,"2039600: Not counting the time spent in class, on average how much time a week do you spend on STAT 202 outside of class (reading check, finishing activities, studying, etc.)",1.0,2039601: How would you rate the usefulness of the lecture slides?,1.0,2039602: What are your thoughts on the course website?,1.0,2039603: How would you rate thedifficultyof Exam 2?,1.0,"2039604: How would you rate the fairness ofExam 2?
Fair means the material was covered in the course and you should be expected to know it.
(difficult does not mean the exam was unfair)",1.0,2039605: Did you actually study for the exam?,1.0,"2039606: If a future student were to ask the best way to study for an exam, what material would you suggest?",1.0,2102000: Which method do you usually use to complete the reading checks?,1.0,"2102002: I have had frequent ""loading issues"" with the reading checks.",1.0,2102001: Provide your view on Aha Slides,1.0,"2039607: Please provide any general thoughts or critiques you may have concerning the material (Chapter 5-9.1) and its use in class. If none, leave blank.
If you think that some of the material is stupid or worthless, then feel free to say so. However please indicate why you think it is stupid or worthless.
Similarly, if you think the material is wonderful and perfect, then feel free to say so. However please indicate why you think it is wonderful and perfect.
I rely on your feedback for improving this course for future students!",1.0,n correct,n incorrect,score
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-17 18:23:30 UTC,1,1 or 2,0.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Link,0.0,Only once,0.0,"I would come to class even if participation was not counted,Aha Slides provide no benefit to lecture",0.0,I think the material covered in this section was interesting.,0.0,4,11,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-17 17:28:25 UTC,1,0,1.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"End of Chapter Textbook Exercises,Practice Exam",0.0,Link,0.0,Only once,0.0,"I would come to class even if participation was not counted,I would enjoy Aha Slides more if it were competition based",0.0,"",0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-17 15:47:44 UTC,1,3 or 4,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,"Review Reading Checks,Practice Exam",0.0,Posit Cloud,1.0,No,0.0,"I would NOT come to class if participation was not counted.,No opinion on Aha Slides",0.0,I think it was definitely a lot more difficult than the material for the first midterm.,0.0,4,11,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-17 15:37:14 UTC,1,1 or 2,0.0,Monday,1.0,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,0-1 hours,1.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,Yes,1.0,Practice Exam,0.0,Link,0.0,Only once,0.0,"I would NOT come to class if participation was not counted.,I would enjoy Aha Slides more if it were competition based",0.0,I think the material is good as it is.,0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-17 15:35:42 UTC,1,0,1.0,Friday,0.0,4- Somewhat difficult,0.0,5 - Too demanding,1.0,5-7 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,Practice Exam",0.0,Link,0.0,Yes,1.0,I would come to class even if participation was not counted,1.0,"",0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-17 15:10:59 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,Practice Exam,0.0,Link,0.0,Only once,0.0,I would come to class even if participation was not counted,1.0,"",0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-17 15:10:30 UTC,1,1 or 2,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,4 -,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,5 - Very difficult,1.0,3 - Neither fair nor unfair,0.0,Yes,1.0,"Practice Exam,Other",0.0,Link,0.0,Only once,0.0,"I would come to class even if participation was not counted,Aha Slides provide no benefit to lecture",0.0,"",0.0,4,11,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-17 15:09:20 UTC,1,1 or 2,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,Yes,1.0,Other,0.0,Link,0.0,Yes,1.0,No opinion on Aha Slides,0.0,"",0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-17 15:08:09 UTC,1,1 or 2,0.0,Monday,1.0,4- Somewhat difficult,0.0,4 -,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,Yes,1.0,Practice Exam,0.0,Posit Cloud,1.0,Yes,1.0,Aha Slides provide no benefit to lecture,0.0,   ,0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-17 15:04:29 UTC,1,3 or 4,0.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,2 - Somewhat easy,0.0,4 - fair,0.0,Yes,1.0,"Practice Exam,Other",0.0,Link,0.0,Yes,1.0,Aha Slides makes lectures more engaging,0.0,I think the material is good to learn because it gives further insight into statistics.,0.0,6,9,1.0
