section,section_id,section_sis_id,submitted,1,2023034: How many classes have you missed so far this quarter?,1,"2023035: If you had a choice, what is your ideal exam day?",1,"2023036: How would you rate the difficulty of the material in ""Part 3"" (Chapters 9.2-12)?",1,2023037: How would you rate the demands of theactivities?,1,"2023038: Not counting the time spent in class, on average how much time a week do you spend on STAT 202 outside of class (reading check, finishing activities, studying, etc.)",1,2023039: How would you rate the usefulness of the lecture slides?,1,2023040: What are your thoughts on the course website?,1,2023041: How would you rate thedifficultyof Exam 3?,1,"2023042: How would you rate the fairness ofExam 3?
Fair means the material was covered in the course and you should be expected to know it.
(difficult does not mean the exam was unfair)",1,2023043: Did you actually study for the exam?,1,"2023044: If a future student were to ask the best way to study for an exam, what material would you suggest?",1,"2023045: Please provide any general thoughts or critiques you may have concerning the material (Chapter 9.2-12) and its use in class. If none, leave blank.
If you think that some of the material is stupid or worthless, then feel free to say so. However please indicate why you think it is stupid or worthless.
Similarly, if you think the material is wonderful and perfect, then feel free to say so. However please indicate why you think it is wonderful and perfect.
I rely on your feedback for improving this course for future students!",1,n correct,n incorrect,score
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-29 05:59:00 UTC,1,3 or 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2,11,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-29 04:34:29 UTC,1,1 or 2,0,Monday,1,4- Somewhat difficult,0,3 - Demands were about right,0,5-7 hours,0,5 - Very useful (keep providing slides),1,Love it - organized and easy to use,1,4- Somewhat difficult,0,4 - fair,0,Yes,1,"Review Activities,Review Reading Checks,Practice Exam,Lecture Slides",0,,0,6,7,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-28 20:23:03 UTC,1,3 or 4,0,Wednesday,0,3 - Neither difficult nor easy,0,3 - Demands were about right,0,1-3 hours,0,5 - Very useful (keep providing slides),1,Love it - organized and easy to use,1,2 - Somewhat easy,0,5 - Very fair (all topics were covered),1,Yes,1,"Review Activities,Practice Exam,Lecture Slides",0,.,0,6,7,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-28 19:34:06 UTC,1,3 or 4,0,Wednesday,0,4- Somewhat difficult,0,3 - Demands were about right,0,5-7 hours,0,3 - Neutral (don't care one way or another),0,Love it - organized and easy to use,1,4- Somewhat difficult,0,5 - Very fair (all topics were covered),1,Yes,1,"Review Activities,Review Reading Checks,Practice Exam",0,,0,5,8,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-28 16:31:30 UTC,1,1 or 2,0,Monday,1,4- Somewhat difficult,0,3 - Demands were about right,0,1-3 hours,0,4 -,0,Don't care either way,0,3 - Neither difficult nor easy,0,5 - Very fair (all topics were covered),1,Yes,1,"Review Activities,Practice Exam,Lecture Slides",0,I thought we spent a lot of time on the coding for doing calculations by hand which kind of confused me when we switched to prop test/ t test. I think we could still learn the theory of the tests without all the coding to calculate by hand.,0,5,8,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-28 05:49:38 UTC,1,3 or 4,0,Wednesday,0,4- Somewhat difficult,0,4 -,0,3-5 hours,0,5 - Very useful (keep providing slides),1,Love it - organized and easy to use,1,4- Somewhat difficult,0,3 - Neither fair nor unfair,0,Yes,1,"Review Reading Checks,Practice Exam",0,,0,5,8,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-28 00:35:24 UTC,1,1 or 2,0,Monday,1,3 - Neither difficult nor easy,0,3 - Demands were about right,0,1-3 hours,0,5 - Very useful (keep providing slides),1,Love it - organized and easy to use,1,3 - Neither difficult nor easy,0,5 - Very fair (all topics were covered),1,Yes,1,"Review Activities,Practice Exam,Lecture Slides",0,all is good as is,0,7,6,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-27 23:02:58 UTC,1,1 or 2,0,Monday,1,4- Somewhat difficult,0,3 - Demands were about right,0,1-3 hours,0,5 - Very useful (keep providing slides),1,Love it - organized and easy to use,1,4- Somewhat difficult,0,4 - fair,0,Yes,1,Practice Exam,0,,0,6,7,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-27 22:20:51 UTC,1,3 or 4,0,Wednesday,0,4- Somewhat difficult,0,4 -,0,1-3 hours,0,5 - Very useful (keep providing slides),1,Love it - organized and easy to use,1,4- Somewhat difficult,0,4 - fair,0,Not as much as I should have,0,"Review Activities,Review Reading Checks,Practice Exam",0,N/A,0,4,9,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-27 10:35:14 UTC,1,3 or 4,0,Monday,1,4- Somewhat difficult,0,3 - Demands were about right,0,3-5 hours,0,5 - Very useful (keep providing slides),1,Love it - organized and easy to use,1,4- Somewhat difficult,0,4 - fair,0,Not as much as I should have,0,"Review Activities,End of Chapter Textbook Exercises,Practice Exam,Lecture Slides",0,Really good class for showing application and some basic theory of statistical data interpretation.,0,5,8,1
