quarter,fav_drink,num_party,party_bin,smoke_cig,smoke_weed,campus_housing,personality,num_followers,salary,exercise,love_first_sight,learning_style,brain_type,myer_briggs,fav_sport,fav_letter,fav_num,hrs_sleep,procrastinator,only_child,birth_month,birth_date,childhood_us,age_years,gender_ident,marry,school_year,height_inches,father_height,mother_height,hand,happy,athlete,ap_stat,r_exp,num_major,hum,socsci,physsci,math,facebook,instagram,twitter,snapchat,tiktok,netflix,hulu,amazon_prime,hbo_max,disney_plus,distance,internet_hrs,fav_season,gpa_hs,gpa_nu,num_clubs,region,political,static_ability,change_ability,genetic,talent
fall 2022,I don't drink,4,3-4,No,No,South campus,Extrovert,100,30000,120,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",Unknown,volleyball,M,2,5,No,No,May,Odd,Yes,18,Male,25,First year,66,67,NA,Right,Not too happy,No,No,Yes,2,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,3000,3,Winter,3.94,4,0,Southeast,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,I don't drink,0,0,No,No,South campus,Introvert,1357,90000,120,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INFJ,figure,M,11,7,Yes,No,January,Odd,Yes,18,Female,30,First year,64,68,64,Right,Not too happy,No,Yes,No,2,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,8087,4,Winter,4.78,NA,3,Northeast,Democrat,Disagree,Agree,Disagree,Agree
fall 2022,Beer,4,3-4,Occasionally,Occasionally,North campus,Extrovert,1300,100000,360,No,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",ENTJ,golf,K,9,7,No,No,November,Odd,Yes,20,Male,30,Sophomore,70,67,63,Right,Very happy,No,No,No,1,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,5782,2,Summer,NA,3.93,1,Midwest,Republican,Disagree,Disagree,Disagree,Disagree
fall 2022,I don't drink,1,1-2,No,No,North campus,Extrovert,650,60000,360,Yes,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",INTP,basketball,W,25,8,Yes,No,December,Even,Yes,18,Male,27,First year,70,68,62,Left,Pretty happy,No,No,No,2,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,700,4,Summer,4,NA,2,Midwest,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,2,1-2,No,No,North campus,Introvert,1600,30000,300,No,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",ENFJ,swimming,E,12,7,Yes,No,January,Odd,Yes,18,Female,28,First year,66,72,66,Right,Pretty happy,No,No,No,2,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,10351,3,Summer,4.15,NA,4,Northeast,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,2,1-2,No,Occasionally,North campus,Extrovert,1300,NA,550,Yes,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ENTP,soccer,A,4,8,No,No,April,Even,Yes,18,Female,28,First year,64,71,63,Right,Pretty happy,No,No,No,0,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,4243,7,Spring,4.3,NA,1,West,No affiliation,Agree,Disagree,Disagree,Agree
fall 2022,Hard liquor/Mixed drink,4,3-4,No,No,Neither,Introvert,1400,70000,60,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",Unknown,baseball,Y,2,6,Yes,No,January,Even,No,20,Female,NA,Junior,64,70,64,Right,Not too happy,No,No,No,1,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,400,4,Winter,4,NA,1,Northeast,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,2,1-2,No,No,North campus,Introvert,1100,80000,180,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INFJ,tennis,L,7,7,Yes,No,April,Even,No,19,Female,27,First year,67,71,66,Right,Pretty happy,No,Yes,No,2,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,6351,150,Summer,4,NA,3,International,No affiliation,Disagree,Agree,Disagree,Disagree
fall 2022,Beer,6,5-6,No,No,South campus,Extrovert,1489,50000,90,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENTP,badminton,E,24,7,Yes,No,September,Even,No,17,Female,25,First year,NA,NA,NA,Right,Pretty happy,No,No,No,2,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,9811,7,Winter,3.93,NA,2,International,Other,Disagree,Agree,Agree,Agree
fall 2022,Hard liquor/Mixed drink,1,1-2,No,No,South campus,Introvert,730,45000,80,No,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ISFJ,soccer,V,4,7,No,No,October,Odd,Yes,18,Female,32,First year,66,74,61,Right,Pretty happy,No,No,No,1,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,5193,6,Fall,3.9,NA,0,Southeast,Democrat,Disagree,Agree,Disagree,Disagree
